,ID,_id,datetime,has_media,is_reply,is_retweet,medias,nbr_favorite,nbr_reply,nbr_retweet,text,url,user_id,usernameTweet
0,947255813315313666,5af886bb24c1c400ac0319b9,2017-12-31 00:59:19,,False,False,,2,1,0,Woke up with a  sore   throat  and  runny   nose .  pic.twitter.com/EEcMa9VXnK,/paulpuccio/status/947255813315313666,62410079,paulpuccio
1,947250196890734592,5af886bb24c1c400ac0319ba,2017-12-31 00:37:00,,True,False,,0,1,0,Couldn't eat cuz of jaw on elastics - > cold/ flu  (mucus  throat ) - >  nose  /mouth bleeding actually a bg couldn't even eat Xmas dinner due to timing,/2Chins_/status/947250196890734592,491605368,2Chins_
2,947238917052313600,5af886bb24c1c400ac0319bb,2017-12-30 23:52:11,,False,False,,2,0,0,"Telegraph with a  sore   throat  and  runny   nose  is a 0/10 recommend, telegraph pass in general is a no recommend",/nubiaaapg/status/947238917052313600,915114433692672000,nubiaaapg
3,947234124884070401,5af886bb24c1c400ac0319bc,2017-12-30 23:33:08,,False,False,,0,0,0,"Am I just being sickly, or talagang sobrang lamig lang ngayon?  Runny   nose  and  sore   throat .   — feeling sick",/janiceroman_/status/947234124884070401,77992738,janiceroman_
4,947225920619683840,5af886bb24c1c400ac0319bd,2017-12-30 23:00:32,,True,False,,0,0,0,"I've come down with a sudden stuffy head,  runny   nose , and  sore   throat . Couldn't figure out where I picked it up. Dangit. PS: Hope UR btr sn.",/pinkgodzilla2/status/947225920619683840,72471261,pinkgodzilla2
5,947216828664774656,5af886bb24c1c400ac0319be,2017-12-30 22:24:25,True,False,False,['https://t.co/kJLPAIcW5r'],0,0,0,"Runny   nose ,  sneezing ,  coughing ,  sore   throat  and it won't get better? It could be mold in your home:  http:// goo.gl/HrQwha  ",/moldadvisor/status/947216828664774656,2427203222,moldadvisor
6,947208458994032640,5af886bb24c1c400ac0319bf,2017-12-30 21:51:09,,True,False,,0,1,0,Im okay! Im really sick rn like stuffy  nose   coughing   sneezing   sore   throat  etc but I’m alive i@guess. Queens of being alive you and me,/iwishyouwoulds/status/947208458994032640,2685803101,iwishyouwoulds
7,947203028901249024,5af886bb24c1c400ac0319c0,2017-12-30 21:29:34,,False,False,,0,3,0, body aches   cough    fever     fatigue     runny   nose    scratchy  throat    chest congestion,/hot_lavender/status/947203028901249024,541016351,hot_lavender
8,947196210863132673,5af886bb24c1c400ac0319c1,2017-12-30 21:02:29,,False,False,,72,53,3,"So I have a sinus infection... worst one I've ever had. In addition to the usual  headache ,  nose  run,  sore   throat  and cough etc... my eyes are just spewing White goo like fast. You can almost watch it happen... not to be too graphic lol.",/GayRepublicSwag/status/947196210863132673,232108392,GayRepublicSwag
9,947193280961409025,5af886bb24c1c400ac0319c2,2017-12-30 20:50:50,,False,False,,1,0,0,"officially sick -.-  sore   throat , clogged  nose  and constant  sneezing . #gottagetthroughthis",/hemisphererush/status/947193280961409025,488872393,hemisphererush
