[{'score': 0.639565, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.29834, 'label': '/home and garden/home improvement and repair/plumbing'}, {'score': 0.231681, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.331699, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.196193, 'label': '/health and fitness/disease/allergies'}, {'score': 0.157822, 'label': '/science/medicine/surgery'}]
[{'score': 0.82008, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.524134, 'label': '/health and fitness/disease/allergies'}, {'score': 0.228486, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.696409, 'label': '/health and fitness/disease/allergies'}, {'score': 0.130165, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.119435, 'label': '/health and fitness/disease'}]
[{'score': 0.588177, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.453905, 'label': '/health and fitness/disease/allergies'}, {'score': 0.352175, 'label': '/style and fashion/footwear/shoes'}]
[{'score': 0.962437, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.139741, 'label': '/health and fitness/disease'}, {'score': 0.0867813, 'label': '/technology and computing/hardware/computer'}]
[{'score': 0.66015, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.584359, 'label': '/health and fitness/disease/asthma'}, {'score': 0.297236, 'label': '/health and fitness/disease'}]
[{'score': 0.377914, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.335644, 'label': '/health and fitness/disease/allergies'}, {'score': 0.234156, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.577347, 'label': '/food and drink'}, {'score': 0.577319, 'label': '/health and fitness/disease/allergies'}, {'score': 0.575613, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.706136, 'label': '/travel/tourist destinations/canada'}, {'score': 0.462345, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.36755, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.654543, 'label': '/science/medicine'}, {'score': 0.535496, 'label': '/health and fitness/disease/allergies'}, {'score': 0.43392, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.973085, 'label': '/health and fitness/disease/allergies'}, {'score': 0.190697, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0910081, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.651644, 'label': '/health and fitness/disease'}, {'score': 0.499201, 'label': '/health and fitness/disorders'}, {'score': 0.346141, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.457705, 'label': '/health and fitness/disease/allergies'}, {'score': 0.184466, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.173192, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.447208, 'label': '/sports/running and jogging'}, {'score': 0.413596, 'label': '/health and fitness/disease/allergies'}, {'score': 0.305735, 'label': '/science/medicine/surgery'}]
[{'score': 0.997984, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0594147, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0102958, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.780178, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.56351, 'label': '/health and fitness/disease/allergies'}, {'score': 0.154802, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.732084, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.539321, 'label': '/health and fitness/disease/allergies'}, {'score': 0.151404, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.908184, 'label': '/health and fitness/disease/allergies'}, {'score': 0.410302, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0781833, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.812037, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.490265, 'label': '/health and fitness/disease/allergies'}, {'score': 0.143847, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.992011, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0887523, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0437758, 'label': '/health and fitness/disease'}]
[{'score': 0.99775, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0350858, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0337495, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.693978, 'label': '/health and fitness/disease/allergies'}, {'score': 0.542806, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.130116, 'label': '/health and fitness/disease/headaches and migraines'}]
