
[]
[{'score': 0.77182, 'label': '/religion and spirituality/islam'}, {'score': 0.420208, 'label': '/family and parenting/children'}, {'score': 0.336342, 'label': '/society/social institution/marriage'}]
[{'score': 0.213496, 'label': '/health and fitness/disease/diabetes'}, {'score': 0.168861, 'label': '/business and industrial'}, {'score': 0.155568, 'label': '/technology and computing/hardware/computer peripherals/computer monitors'}]
[{'score': 0.608144, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.467065, 'label': '/technology and computing/computer security/antivirus and malware'}, {'score': 0.348362, 'label': '/law, govt and politics'}]
[{'score': 0.343538, 'label': '/style and fashion/accessories/hats'}, {'score': 0.214061, 'label': '/travel/tourist destinations/france'}, {'score': 0.187638, 'label': '/food and drink'}]
[{'score': 0.981108, 'label': '/health and fitness/disorders'}, {'score': 0.106184, 'label': '/health and fitness/disease'}, {'score': 0.0605872, 'label': '/health and fitness/disease/epilepsy'}]
[{'score': 0.592191, 'label': '/law, govt and politics/politics/elections'}, {'score': 0.203421, 'label': '/sports/running and jogging'}, {'score': 0.188981, 'label': '/health and fitness/disease/thyroid disease'}]
[{'score': 0.140935, 'label': '/art and entertainment/dance'}, {'score': 0.139702, 'label': '/technology and computing/consumer electronics/telephones/mobile phones/smart phones'}, {'score': 0.133918, 'label': '/art and entertainment/radio'}]
[{'score': 0.333726, 'label': '/science/physics'}, {'score': 0.132392, 'label': '/art and entertainment/visual art and design/design'}, {'score': 0.115596, 'label': '/finance/grants, scholarships and financial aid/financial aid'}]
[{'score': 0.623749, 'label': '/technology and computing/mp3 and midi'}, {'score': 0.210511, 'label': '/art and entertainment/humor'}, {'score': 0.194781, 'label': '/health and fitness/disease'}]
[{'score': 0.543063, 'label': '/shopping/toys'}, {'score': 0.166965, 'label': '/art and entertainment/music/musical instruments/pianos'}, {'score': 0.153759, 'label': '/shopping/toys/dolls'}]
[{'score': 0.534643, 'label': '/society/sex'}, {'score': 0.42008, 'label': '/education/school'}, {'score': 0.309728, 'label': '/family and parenting/children'}]
[{'score': 0.603469, 'label': '/health and fitness/disease'}, {'score': 0.586002, 'label': '/health and fitness/addiction'}, {'score': 0.256619, 'label': '/family and parenting/children'}]
[{'score': 0.531328, 'label': '/food and drink/beverages/alcoholic beverages/cocktails and beer'}, {'score': 0.209405, 'label': '/health and fitness/disease/diabetes'}, {'score': 0.150523, 'label': '/food and drink'}]
[{'score': 0.34165, 'label': '/health and fitness'}, {'score': 0.172434, 'label': '/art and entertainment/music'}, {'score': 0.163571, 'label': '/science/medicine/psychology and psychiatry'}]
[{'score': 0.456143, 'label': '/technology and computing/programming languages'}, {'score': 0.372418, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.183418, 'label': '/travel/tourist destinations/mexico and central america'}]
[{'score': 0.704113, 'label': '/art and entertainment/shows and events/concert'}, {'score': 0.665388, 'label': '/business and industrial/construction'}, {'score': 0.0712374, 'label': '/art and entertainment/theatre/theatre awards'}]
[{'score': 0.395173, 'label': '/technology and computing/operating systems/linux'}, {'score': 0.379786, 'label': '/art and entertainment/music'}, {'score': 0.2709, 'label': '/business and industrial'}]
[{'score': 0.744683, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.314998, 'label': '/society/gay life'}, {'score': 0.0752251, 'label': '/style and fashion/clothing/pants'}]
[{'score': 0.170431, 'label': '/health and fitness/therapy'}, {'score': 0.160445, 'label': '/travel/tourist destinations/france'}, {'score': 0.143454, 'label': '/art and entertainment/visual art and design/design'}]
[{'score': 0.514588, 'label': '/shopping'}, {'score': 0.22014, 'label': '/sports/walking'}, {'score': 0.0962656, 'label': '/health and fitness/disease/thyroid disease'}]
[{'score': 0.290971, 'label': '/health and fitness/disease/aids and hiv'}, {'score': 0.10646, 'label': '/travel/tourist destinations/africa'}, {'score': 0.105696, 'label': '/science/ecology/pollution'}]
[{'score': 0.428512, 'label': '/health and fitness/disease'}, {'score': 0.26904, 'label': '/art and entertainment/movies and tv/bollywood'}, {'score': 0.124299, 'label': '/health and fitness'}]
[{'score': 0.965895, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.147929, 'label': '/health and fitness/disease/thyroid disease'}, {'score': 0.0558088, 'label': '/health and fitness'}]
[{'score': 0.843708, 'label': '/sports/football'}, {'score': 0.0612077, 'label': '/automotive and vehicles/certified pre-owned'}, {'score': 0.058414, 'label': '/style and fashion/footwear/shoes'}]
